PDB_ID	RELEASE_DATE	SELECTED_SOURCE	REVISION_ORDINAL	REVISION_DATE	LEGACY_ORIGINAL_DATE	SOURCES_AGREE
1VTQ	2011-07-13	_pdbx_audit_revision_history.revision_date	1	2011-07-13		
1WKS	2004-06-22	_pdbx_audit_revision_history.revision_date	1	2004-06-22		
1WTS	1999-01-27	_pdbx_audit_revision_history.revision_date	1	1999-01-27		
1WTT	1999-01-27	_pdbx_audit_revision_history.revision_date	1	1999-01-27		
1WVD	2004-12-21	_pdbx_audit_revision_history.revision_date	1	2004-12-21		
1X8W	2004-11-09	_pdbx_audit_revision_history.revision_date	1	2004-11-09		
1X9C	2005-11-22	_pdbx_audit_revision_history.revision_date	1	2005-11-22		
1X9K	2005-11-22	_pdbx_audit_revision_history.revision_date	1	2005-11-22		
1XHP	2004-11-23	_pdbx_audit_revision_history.revision_date	1	2004-11-23		
1XJR	2005-02-01	_pdbx_audit_revision_history.revision_date	1	2005-02-01		
1XP7	2005-10-18	_pdbx_audit_revision_history.revision_date	1	2005-10-18		
1XPE	2005-10-18	_pdbx_audit_revision_history.revision_date	1	2005-10-18		
1XPF	2005-10-18	_pdbx_audit_revision_history.revision_date	1	2005-10-18		
1XSG	2004-12-28	_pdbx_audit_revision_history.revision_date	1	2004-12-28		
1XSH	2004-12-28	_pdbx_audit_revision_history.revision_date	1	2004-12-28		
1XST	2004-12-28	_pdbx_audit_revision_history.revision_date	1	2004-12-28		
1XSU	2004-12-28	_pdbx_audit_revision_history.revision_date	1	2004-12-28		
1XV0	2004-11-09	_pdbx_audit_revision_history.revision_date	1	2004-11-09		
1XV6	2005-04-05	_pdbx_audit_revision_history.revision_date	1	2005-04-05		
1XWP	2005-02-15	_pdbx_audit_revision_history.revision_date	1	2005-02-15		
1XWU	2005-02-15	_pdbx_audit_revision_history.revision_date	1	2005-02-15		
